=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.10.13 22:39:46 =~=~=~=~=~=~=~=~=~=~=~=
No Detection!
varBetween: 7510610971440.000000

varBetween: 7644970850268.000000

varBetween: 7780782505984.000000

varBetween: 7918101430407.000000

varBetween: 8053327872000.000000

varBetween: 8464427411964.000000

varBetween: 8603357000112.000000

varBetween: 8741309540535.000000

varBetween: 8879558805180.000000

varBetween: 9156941006400.000000

varBetween: 9297459960768.000000

varBetween: 9438307088860.000000

varBetween: 9859869954396.000000

varBetween: 10144399581120.000000

varBetween: 10285619998720.000000

varBetween: 10428659973927.000000

varBetween: 10570454351964.000000

varBetween: 10714102716700.000000

varBetween: 10858062154800.000000

varBetween: 11002330906560.000000

varBetween: 11146907203612.000000

varBetween: 11580770767095.000000

varBetween: 11728252174140.000000

varBetween: 12020723316784.000000

varBetween: 12167402188800.000000

varBetween: 12612840534528.000000

varBetween: 13059211113135.000000

varBetween: 13661747620848.000000

varBetween: 14120357937852.000000

varBetween: 14735592200560.000000

varBetween: 15202936108800.000000

varBetween: 16146124232560.000000

varBetween: 17109760662000.000000

varBetween: 17922331712220.000000

varBetween: 18255043302144.000000

varBetween: 19256129268732.000000

varBetween: 20615993116092.000000

varBetween: 21311995590000.000000

varBetween: 22728591653148.000000

varBetween: 23996371491840.000000

varBetween: 25668218410140.000000

varBetween: 27195978819100.000000

varBetween: 28569386285055.000000

varBetween: 28969962637887.000000

varBetween: 31409372141623.000000

varBetween: 32884672776060.000000

varBetween: 35272000528687.000000

varBetween: 37298112397020.000000

varBetween: 37985243223583.000000

varBetween: 39861813191367.000000

varBetween: 42529353444144.000000

varBetween: 44539929710640.000000

varBetween: 46615446604800.000000

varBetween: 49026111164784.000000

varBetween: 51524810251200.000000

varBetween: 54118440515055.000000

varBetween: 56498253488703.000000

varBetween: 59277289770816.000000

varBetween: 61833849963520.000000

varBetween: 65161366165500.000000

varBetween: 70076847903040.000000

varBetween: 73396414665328.000000

varBetween: 77256650312688.000000

varBetween: 82971911546524.000000

varBetween: 89100937363200.000000

varBetween: 97662260701500.000000

varBetween: 100688125234140.000000

varBetween: 106517563073472.000000

varBetween: 111560290850160.000000

varBetween: 117477552234780.000000

varBetween: 122467330873263.000000

varBetween: 127042652240640.000000

varBetween: 132505354109232.000000

varBetween: 136071951385788.000000

varBetween: 140487888509500.000000

varBetween: 147462109891648.000000

varBetween: 153191902477680.000000

varBetween: 162765290795008.000000

varBetween: 168324881219584.000000

varBetween: 174117225967552.000000

varBetween: 184385420279808.000000

varBetween: 195500806971888.000000

varBetween: 206293488160959.000000

varBetween: 216595746882780.000000

varBetween: 239535968345343.000000

varBetween: 266199178772799.000000

varBetween: 297579552527808.000000

varBetween: 329951665500016.000000

varBetween: 371273932558336.000000

varBetween: 445008362272668.000000

varBetween: 558660908452608.000000

varBetween: 743618718721200.000000

varBetween: 1116709318230000.000000

varBetween: 1367803088865792.000000

varBetween: 1703912215559580.000000

varBetween: 1967510741592000.000000

varBetween: 2322004825206720.000000

varBetween: 2408096472490800.000000

threshold: 203

No Detection!
varBetween: 3392177948208.000000

varBetween: 3516999893020.000000

varBetween: 3642636582000.000000

varBetween: 3767957614575.000000

varBetween: 3894128909824.000000

varBetween: 4020575061327.000000

varBetween: 4145994025500.000000

varBetween: 4272947716135.000000

varBetween: 4400172236592.000000

varBetween: 4656154917888.000000

varBetween: 4911751371840.000000

varBetween: 5169933081600.000000

varBetween: 5559733849500.000000

varBetween: 5689648000368.000000

varBetween: 6214710802300.000000

varBetween: 6346919384700.000000

varBetween: 7013296862208.000000

varBetween: 7417023481600.000000

varBetween: 7689164702448.000000

varBetween: 7824516262524.000000

varBetween: 8098470097920.000000

varBetween: 8234663816860.000000

varBetween: 8510401887900.000000

varBetween: 8647423535152.000000

varBetween: 9346150424583.000000

varBetween: 9486252991260.000000

varBetween: 9911221446511.000000

varBetween: 10337440481280.000000

varBetween: 11059000042335.000000

varBetween: 11202600701788.000000

varBetween: 11349787137279.000000

varBetween: 11641788992655.000000

varBetween: 11788240944240.000000

varBetween: 11934991155087.000000

varBetween: 12082037796864.000000

varBetween: 12528559912375.000000

varBetween: 12676811655168.000000

varBetween: 12976042605372.000000

varBetween: 13127055951735.000000

varBetween: 13278388647600.000000

varBetween: 13430038755447.000000

varBetween: 13734283409007.000000

varBetween: 13884892103680.000000

varBetween: 14190962139072.000000

varBetween: 14656507580700.000000

varBetween: 14965678992348.000000

varBetween: 15120708900864.000000

varBetween: 15278184749575.000000

varBetween: 15435989825280.000000

varBetween: 15594122022015.000000

varBetween: 15909130742076.000000

varBetween: 16227613024000.000000

varBetween: 16385044608000.000000

varBetween: 16707704326396.000000

varBetween: 17029318350000.000000

varBetween: 17354553273792.000000

varBetween: 17516442805119.000000

varBetween: 17681067952128.000000

varBetween: 18337863808176.000000

varBetween: 18504099784863.000000

varBetween: 19004734900800.000000

varBetween: 19340073878268.000000

varBetween: 19679320212160.000000

varBetween: 20534457661695.000000

varBetween: 21225974893660.000000

varBetween: 22459152341808.000000

varBetween: 23723177083263.000000

varBetween: 24090394930140.000000

varBetween: 25390935862704.000000

varBetween: 25764041496000.000000

varBetween: 27105236318583.000000

varBetween: 28866884890140.000000

varBetween: 29875207864320.000000

varBetween: 32145712046748.000000

varBetween: 32992272445440.000000

varBetween: 34499523480975.000000

varBetween: 36725958603711.000000

varBetween: 38563811851815.000000

varBetween: 41178005115708.000000

varBetween: 42644045732400.000000

varBetween: 44663182632640.000000

varBetween: 46475771284239.000000

varBetween: 48339252211740.000000

varBetween: 52800364605040.000000

varBetween: 54841147358976.000000

varBetween: 56331460677376.000000

varBetween: 58481254244775.000000

varBetween: 61331802855168.000000

varBetween: 63958442210172.000000

varBetween: 67379139996672.000000

varBetween: 72055922479740.000000

varBetween: 76240291544640.000000

varBetween: 80646683478172.000000

varBetween: 84428232041520.000000

varBetween: 87042983781052.000000

varBetween: 94900217754303.000000

varBetween: 100884555327015.000000

varBetween: 104551364003644.000000

varBetween: 110623325302503.000000

varBetween: 117688134500655.000000

varBetween: 123327850923420.000000

varBetween: 129960419968000.000000

varBetween: 134135742992320.000000

varBetween: 139233794831775.000000

varBetween: 145338233214460.000000

varBetween: 150137300615575.000000

varBetween: 155126828209276.000000

varBetween: 168596122927104.000000

varBetween: 181520148374775.000000

varBetween: 189020507087664.000000

varBetween: 196960613542000.000000

varBetween: 205377619328700.000000

varBetween: 214285797378807.000000

varBetween: 220995069664752.000000

varBetween: 244592790662640.000000

varBetween: 264806008630812.000000

varBetween: 285598824069999.000000

varBetween: 306747529852671.000000

varBetween: 348769356349440.000000

varBetween: 390721838251888.000000

varBetween: 466817752901052.000000

varBetween: 559414763434800.000000

varBetween: 734771903114940.000000

varBetween: 1040251050426096.000000

varBetween: 1618478718985852.000000

varBetween: 3244282572631548.000000

varBetween: 11576602144391868.000000

varBetween: 13909634247288896.000000

threshold: 200

[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

Interact with the various HMI demos using the attached screen


> Press space bar to return to MENU
[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

Interact with the various HMI demos using the attached screen


> Press space bar to return to MENU
x: 8.000000
y: 8.000000
varBetween: 3392177948208.000000

q1: 28

q2: 756

(m1 - m2): -12659.000000

varBetween: 3516999893020.000000

q1: 29

q2: 755

(m1 - m2): -12674.000000

varBetween: 3642636582000.000000

q1: 30

q2: 754

(m1 - m2): -12690.000000

varBetween: 3767957614575.000000

q1: 31

q2: 753

(m1 - m2): -12705.000000

varBetween: 3894128909824.000000

q1: 32

q2: 752

(m1 - m2): -12721.000000

varBetween: 4020575061327.000000

q1: 33

q2: 751

(m1 - m2): -12737.000000

varBetween: 4146644352000.000000

q1: 34

q2: 750

(m1 - m2): -12752.000000

varBetween: 4273617116160.000000

q1: 35

q2: 749

(m1 - m2): -12768.000000

varBetween: 4400860704768.000000

q1: 36

q2: 748

(m1 - m2): -12784.000000

varBetween: 4656154917888.000000

q1: 38

q2: 746

(m1 - m2): -12816.000000

varBetween: 4911751371840.000000

q1: 40

q2: 744

(m1 - m2): -12847.000000

varBetween: 5170735897404.000000

q1: 42

q2: 742

(m1 - m2): -12881.000000

varBetween: 5689648000368.000000

q1: 46

q2: 738

(m1 - m2): -12946.000000

varBetween: 5820715702791.000000

q1: 47

q2: 737

(m1 - m2): -12963.000000

varBetween: 6346919384700.000000

q1: 51

q2: 733

(m1 - m2): -13030.000000

varBetween: 7013296862208.000000

q1: 56

q2: 728

(m1 - m2): -13116.000000

varBetween: 7418150046775.000000

q1: 59

q2: 725

(m1 - m2): -13169.000000

varBetween: 7689164702448.000000

q1: 61

q2: 723

(m1 - m2): -13204.000000

varBetween: 7824516262524.000000

q1: 62

q2: 722

(m1 - m2): -13221.000000

varBetween: 8098470097920.000000

q1: 64

q2: 720

(m1 - m2): -13257.000000

varBetween: 8234663816860.000000

q1: 65

q2: 719

(m1 - m2): -13274.000000

varBetween: 8510401887900.000000

q1: 67

q2: 717

(m1 - m2): -13310.000000

varBetween: 8650019189808.000000

q1: 68

q2: 716

(m1 - m2): -13329.000000

varBetween: 9346150424583.000000

q1: 73

q2: 711

(m1 - m2): -13419.000000

varBetween: 9486252991260.000000

q1: 74

q2: 710

(m1 - m2): -13437.000000

varBetween: 9911221446511.000000

q1: 77

q2: 707

(m1 - m2): -13493.000000

varBetween: 10337440481280.000000

q1: 80

q2: 704

(m1 - m2): -13548.000000

varBetween: 11059000042335.000000

q1: 85

q2: 699

(m1 - m2): -13643.000000

varBetween: 11202600701788.000000

q1: 86

q2: 698

(m1 - m2): -13661.000000

varBetween: 11349787137279.000000

q1: 87

q2: 697

(m1 - m2): -13681.000000

varBetween: 11641788992655.000000

q1: 89

q2: 695

(m1 - m2): -13719.000000

varBetween: 11788240944240.000000

q1: 90

q2: 694

(m1 - m2): -13738.000000

varBetween: 11934991155087.000000

q1: 91

q2: 693

(m1 - m2): -13757.000000

varBetween: 12082037796864.000000

q1: 92

q2: 692

(m1 - m2): -13776.000000

varBetween: 12528559912375.000000

q1: 95

q2: 689

(m1 - m2): -13835.000000

varBetween: 12676811655168.000000

q1: 96

q2: 688

(m1 - m2): -13854.000000

varBetween: 12976042605372.000000

q1: 98

q2: 686

(m1 - m2): -13893.000000

varBetween: 13127055951735.000000

q1: 99

q2: 685

(m1 - m2): -13913.000000

varBetween: 13280294750400.000000

q1: 100

q2: 684

(m1 - m2): -13934.000000

varBetween: 13430038755447.000000

q1: 101

q2: 683

(m1 - m2): -13953.000000

varBetween: 13734283409007.000000

q1: 103

q2: 681

(m1 - m2): -13993.000000

varBetween: 13884892103680.000000

q1: 104

q2: 680

(m1 - m2): -14012.000000

varBetween: 14192981989212.000000

q1: 106

q2: 678

(m1 - m2): -14053.000000

varBetween: 14656507580700.000000

q1: 109

q2: 675

(m1 - m2): -14114.000000

varBetween: 14967793759575.000000

q1: 111

q2: 673

(m1 - m2): -14155.000000

varBetween: 15122842560000.000000

q1: 112

q2: 672

(m1 - m2): -14175.000000

varBetween: 15280337440368.000000

q1: 113

q2: 671

(m1 - m2): -14196.000000

varBetween: 15435989825280.000000

q1: 114

q2: 670

(m1 - m2): -14216.000000

varBetween: 15594122022015.000000

q1: 115

q2: 669

(m1 - m2): -14237.000000

varBetween: 15909130742076.000000

q1: 117

q2: 667

(m1 - m2): -14278.000000

varBetween: 16227613024000.000000

q1: 119

q2: 665

(m1 - m2): -14320.000000

varBetween: 16387329910080.000000

q1: 120

q2: 664

(m1 - m2): -14341.000000

varBetween: 16707704326396.000000

q1: 122

q2: 662

(m1 - m2): -14383.000000

varBetween: 17029318350000.000000

q1: 124

q2: 660

(m1 - m2): -14425.000000

varBetween: 17354553273792.000000

q1: 126

q2: 658

(m1 - m2): -14468.000000

varBetween: 17518860783900.000000

q1: 127

q2: 657

(m1 - m2): -14490.000000

varBetween: 17681067952128.000000

q1: 128

q2: 656

(m1 - m2): -14511.000000

varBetween: 18337863808176.000000

q1: 132

q2: 652

(m1 - m2): -14597.000000

varBetween: 18506631385200.000000

q1: 133

q2: 651

(m1 - m2): -14620.000000

varBetween: 19004734900800.000000

q1: 136

q2: 648

(m1 - m2): -14685.000000

varBetween: 19340073878268.000000

q1: 138

q2: 646

(m1 - m2): -14729.000000

varBetween: 19679320212160.000000

q1: 140

q2: 644

(m1 - m2): -14774.000000

varBetween: 20534457661695.000000

q1: 145

q2: 639

(m1 - m2): -14887.000000

varBetween: 21225974893660.000000

q1: 149

q2: 635

(m1 - m2): -14978.000000

varBetween: 22459152341808.000000

q1: 156

q2: 628

(m1 - m2): -15141.000000

varBetween: 23723177083263.000000

q1: 163

q2: 621

(m1 - m2): -15309.000000

varBetween: 24090394930140.000000

q1: 165

q2: 619

(m1 - m2): -15358.000000

varBetween: 25390935862704.000000

q1: 172

q2: 612

(m1 - m2): -15531.000000

varBetween: 25764041496000.000000

q1: 174

q2: 610

(m1 - m2): -15580.000000

varBetween: 27105236318583.000000

q1: 181

q2: 603

(m1 - m2): -15759.000000

varBetween: 28870494942960.000000

q1: 190

q2: 594

(m1 - m2): -15994.000000

varBetween: 29875207864320.000000

q1: 195

q2: 589

(m1 - m2): -16128.000000

varBetween: 32145712046748.000000

q1: 206

q2: 578

(m1 - m2): -16431.000000

varBetween: 32992272445440.000000

q1: 210

q2: 574

(m1 - m2): -16544.000000

varBetween: 34499523480975.000000

q1: 217

q2: 567

(m1 - m2): -16745.000000

varBetween: 36725958603711.000000

q1: 227

q2: 557

(m1 - m2): -17043.000000

varBetween: 38563811851815.000000

q1: 235

q2: 549

(m1 - m2): -17289.000000

varBetween: 41178005115708.000000

q1: 246

q2: 538

(m1 - m2): -17639.000000

varBetween: 42648827929344.000000

q1: 252

q2: 532

(m1 - m2): -17836.000000

varBetween: 44663182632640.000000

q1: 260

q2: 524

(m1 - m2): -18106.000000

varBetween: 46480837177500.000000

q1: 267

q2: 517

(m1 - m2): -18350.000000

varBetween: 48339252211740.000000

q1: 274

q2: 510

(m1 - m2): -18599.000000

varBetween: 52800364605040.000000

q1: 290

q2: 494

(m1 - m2): -19198.000000

varBetween: 54841147358976.000000

q1: 297

q2: 487

(m1 - m2): -19472.000000

varBetween: 56331460677376.000000

q1: 302

q2: 482

(m1 - m2): -19672.000000

varBetween: 58481254244775.000000

q1: 309

q2: 475

(m1 - m2): -19961.000000

varBetween: 61331802855168.000000

q1: 318

q2: 466

(m1 - m2): -20344.000000

varBetween: 63958442210172.000000

q1: 326

q2: 458

(m1 - m2): -20697.000000

varBetween: 67379139996672.000000

q1: 336

q2: 448

(m1 - m2): -21157.000000

varBetween: 72055922479740.000000

q1: 349

q2: 435

(m1 - m2): -21786.000000

varBetween: 76240291544640.000000

q1: 360

q2: 424

(m1 - m2): -22349.000000

varBetween: 80646683478172.000000

q1: 371

q2: 413

(m1 - m2): -22942.000000

varBetween: 84428232041520.000000

q1: 380

q2: 404

(m1 - m2): -23451.000000

varBetween: 87042983781052.000000

q1: 386

q2: 398

(m1 - m2): -23803.000000

varBetween: 94900217754303.000000

q1: 403

q2: 381

(m1 - m2): -24861.000000

varBetween: 100884555327015.000000

q1: 415

q2: 369

(m1 - m2): -25667.000000

varBetween: 104551364003644.000000

q1: 422

q2: 362

(m1 - m2): -26161.000000

varBetween: 110623325302503.000000

q1: 433

q2: 351

(m1 - m2): -26979.000000

varBetween: 117688134500655.000000

q1: 445

q2: 339

(m1 - m2): -27931.000000

varBetween: 123327850923420.000000

q1: 454

q2: 330

(m1 - m2): -28691.000000

varBetween: 129960419968000.000000

q1: 464

q2: 320

(m1 - m2): -29585.000000

varBetween: 134144641623580.000000

q1: 470

q2: 314

(m1 - m2): -30149.000000

varBetween: 139233794831775.000000

q1: 477

q2: 307

(m1 - m2): -30835.000000

varBetween: 145338233214460.000000

q1: 485

q2: 299

(m1 - m2): -31658.000000

varBetween: 150137300615575.000000

q1: 491

q2: 293

(m1 - m2): -32305.000000

varBetween: 155136236249799.000000

q1: 497

q2: 287

(m1 - m2): -32979.000000

varBetween: 168596122927104.000000

q1: 512

q2: 272

(m1 - m2): -34794.000000

varBetween: 181520148374775.000000

q1: 525

q2: 259

(m1 - m2): -36537.000000

varBetween: 187923663670743.000000

q1: 531

q2: 253

(m1 - m2): -37401.000000

varBetween: 195795944732412.000000

q1: 538

q2: 246

(m1 - m2): -38463.000000

varBetween: 204147218404855.000000

q1: 545

q2: 239

(m1 - m2): -39589.000000

varBetween: 212981952765504.000000

q1: 552

q2: 232

(m1 - m2): -40781.000000

varBetween: 219631583629276.000000

q1: 557

q2: 227

(m1 - m2): -41678.000000

varBetween: 243025615783068.000000

q1: 573

q2: 211

(m1 - m2): -44834.000000

varBetween: 263026431550935.000000

q1: 585

q2: 199

(m1 - m2): -47533.000000

varBetween: 283615530194608.000000

q1: 596

q2: 188

(m1 - m2): -50311.000000

varBetween: 304535305949808.000000

q1: 606

q2: 178

(m1 - m2): -53134.000000

varBetween: 346060660651132.000000

q1: 623

q2: 161

(m1 - m2): -58738.000000

varBetween: 387474710708631.000000

q1: 637

q2: 147

(m1 - m2): -64327.000000

varBetween: 462448626347151.000000

q1: 657

q2: 127

(m1 - m2): -74447.000000

varBetween: 553476272738175.000000

q1: 675

q2: 109

(m1 - m2): -86733.000000

varBetween: 725203514207088.000000

q1: 698

q2: 86

(m1 - m2): -109914.000000

varBetween: 1022344571763648.000000

q1: 721

q2: 63

(m1 - m2): -150024.000000

varBetween: 1577845790087616.000000

q1: 742

q2: 42

(m1 - m2): -225012.000000

varBetween: 3092819288377500.000000

q1: 762

q2: 22

(m1 - m2): -429525.000000

varBetween: 9910242674803360.000000

q1: 777

q2: 7

(m1 - m2): -1349841.000000

varBetween: 11576719763278332.000000

q1: 778

q2: 6

(m1 - m2): -1574807.000000

varBetween: 69903229633753792.000000

q1: 783

q2: 1

(m1 - m2): -9448606.000000

[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

Interact with the various HMI demos using the attached screen


> Press space bar to return to MENU
x: 8.000000
y: 8.000000
q2: 9570325

varBetween: 3392177948208.000000

q1: 28

q2: 756

q2: 0

q2: 9570325

[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

Interact with the various HMI demos using the attached screen


> Press space bar to return to MENU
x: 8.000000
y: 8.000000
[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

Interact with the various HMI demos using the attached screen


> Press space bar to return to MENU
x: 8.000000
y: 8.000000
[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

[Temp
[37m
2. VARIOUS INTERACTIVE CONNECTIVITY & HMI DEMOS

Interact with the various HMI demos using the attached screen


> Press space bar to return to MENU
x: 8.000000
y: 8.000000
summer: 121810

varBetween: 548695728.000000

q1: 28

q2: 756

q2: 0

q2: 121810

(m1 - m2): -161.000000

varBetween: 560512000.000000

q1: 29

q2: 755

q2: 42

q2: 121768

(m1 - m2): -160.000000

varBetween: 571856220.000000

q1: 30

q2: 754

q2: 86

q2: 121724

(m1 - m2): -159.000000

varBetween: 575381607.000000

q1: 31

q2: 753

q2: 132

q2: 121678

(m1 - m2): -157.000000

varBetween: 585621504.000000

q1: 32

q2: 752

q2: 179

q2: 121631

(m1 - m2): -156.000000

varBetween: 595411575.000000

q1: 33

q2: 751

q2: 228

q2: 121582

(m1 - m2): -155.000000

varBetween: 604758000.000000

q1: 34

q2: 750

q2: 278

q2: 121532

(m1 - m2): -154.000000

varBetween: 613666935.000000

q1: 35

q2: 749

q2: 330

q2: 121480

(m1 - m2): -153.000000

varBetween: 622144512.000000

q1: 36

q2: 748

q2: 383

q2: 121427

(m1 - m2): -152.000000

varBetween: 637830000.000000

q1: 38

q2: 746

q2: 491

q2: 121319

(m1 - m2): -150.000000

varBetween: 643083840.000000

q1: 40

q2: 744

q2: 601

q2: 121209

(m1 - m2): -147.000000

varBetween: 673422876.000000

q1: 42

q2: 742

q2: 713

q2: 121097

(m1 - m2): -147.000000

varBetween: 694202652.000000

q1: 46

q2: 738

q2: 941

q2: 120869

(m1 - m2): -143.000000

